Incident Code,Incident Description
27198,"Embezzlement, Grand Theft Leased Property"
27199,Escape or Assisting Escape
27200,Fire Code Violation (general)
27201,"Hazardous Materials, Dumping in Unauthorized Location"
27210,"Firearm Transfer, Violation"
27220,"Alcohol, Sale Of After Hours"
27300,Amphetamines Offense
27400,"Burglary, Flat Under Constr., Att. Forcible"
27401,"Theft, Motorcycle Strip, <$50"
28010,Cocaine Offense
28020,"Vehicle, Recovered, Mobile Home or House Trailer"
28030,"Robbery, Service Station, W/ Gun"
28040,"Controlled Substance Violation, Loitering for"
28050,Assault During Labor Dispute
28060,"Burglary, Safe, Other, with Explosives"
28080,"Checks, Making or Uttering with Insufficient Funds"
28092,Disturbing The Peace
28100,Municipal Code Violation (general)
28102,"Theft, Coin Operated Machine, $200-$950"
28103,"Phone Calls, Harassing, to 911"
28110,Parole Search
28120,"Sexual Assault, Administering Drug to Commit"
28130,Located Property
28135,"Theft, Shoplifting, >$950"
28136,"Alcohol, Furnish or Sell to Intox. Person"
28140,"Malicious Mischief, Street Cars/Buses"
28150,"Vehicle, Stolen & Recovered"
28160,"Malicious Mischief, Vandalism to Vehicle"
28161,Suspicious Vehicle
28164,Stalking
28165,Counterfeit Money or Coins
28166,Vandalism or Graffiti on or within 100 ft of Highway
28167,Engaging In Lewd Act
28168,"Driving, Failure To Heed Red Light And Siren"
28169,"Theft, False Pretenses, Misd."
28170,"Arson, Portable Toilet"
28180,"Cable TV Connection or Decoding Device, Unauthorized"
28181,"Embezzlement, Petty Theft By Employee"
30000,"Conceal Crime or Withhold Evidence, Accepting Payment to"
30006,"Parking Meters, Damage to"
30007,Phone Calls in Violation of DVU Court Order
30009,"Heroin, Transportation"
30010,"Theft, Pickpocket, Attempted"
30011,"Permit Violation, Dance Hall"
30020,Impersonating Public Utility Member
30030,"Burglary, Other Bldg. Under Constr., Forcible Entry"
30070,"Robbery,  ATM, Gun, Att."
30080,Municipal Police Code Violation (general)
30110,"Drug Offender, Presence  near School Grounds"
30120,Lodging in Park
30130,"Theft, Petty, with Prior Conviction"
30131,"Disaster Area, Entering or Remaining in"
30140,"Robbery, Residence, W/ Force"
30150,"Assault, Att. Mayhem, W/ Knife"
30155,Gang Related (secondary only)
30160,"Embezzlement, Grand Theft Public/Private Official"
30170,"Theft, Grand, of Firearm"
30180,Pandering
30190,"Access Card, Possession of Lost or Stolen, with Intent to Use, Transfer, or Sell"
30191,"Embezzlement, Grand Theft By Collector"
30192,"Assault, Att. Homicide, Explosives"
30200,"Firearm, Discharging Within City Limits"
30205,"Prisoner, Rescuing From Lawful Custody"
30206,"Wiretaps, Unauthorized"
30210,"Dissuading Witness, Victim"
31000,"Theft, Trick And Device, Felony"
51010,"Rape, Forcible, W/ Other Weapon"
51020,"Weapon, Possess or Bring Other on School Grounds"
51030,"Phone Calls, Obscene"
51040,"Robbery, Att., W/ Gun"
51041,"Burglary, Safe,  Store"
51050,Probation Violation
60010,"Burglary, Warehouse, Att. Forcible Entry"
60020,"Rape, Forcible, W/ Sharp Object"
60030,"Rape, Att., W/ Gun"
60040,"Homicide, Excusable, W/ Sharp Object"
60050,"Insured Property, Destruction to Defraud Insurer"
60060,"Burglary, Apt Under Constr., Unlawful Entry"
60070,"Suicide By Laceration/Stabbing, Att."
60080,"Theft, False Pretenses, Felony"
60090,Maintaining A Public Nuisance
60110,"Theft, Drunk Roll, $50-$200"
60120,Terrorizing by Interfering with Religious Worship
60150,Theft from Merchant or Library
60160,Soliciting or Engaging In Lewd Conduct
60170,Embezzlement (general)
60180,"Loitering, Obstructing"
60190,"Theft, Purse Snatch, <$50"
61010,"School Campus, Remaining Without Consent"
61020,"Driving While Under The Influence Of Drugs, w/Injury"
61030,"Death Report, Cause Unknown"
61040,Opiates Offense
62010,"Theft, From Locked Vehicle, <$50"
62020,Courtesy Report
62030,"Warrant Arrest, Enroute To Parole"
62040,Carjacking with a Dangerous Weapon
62050,"Warrant Arrest, Enroute To Outside Jurisdiction"
62060,"Warrant Arrest, Enroute To Adult Authority"
62070,Unusual Occurrence
62071,"Robbery, Chain Store, W/ Other Weapon"
62072,"Assault, Att. Homicide, W/ Gun"
63010,"Warrant Arrest, Local SF Warrant"
64000,"Assault, Mayhem, W/ Gun"
64001,"Opium, Possession For Sale"
64002,"Dog or Cat, Abandonment of"
64003,Manufacture or Sale of Counterfeit Goods
64010,"Malicious Mischief, Vandalism to Property"
64011,Firearm Possession in School Zone
64012,Lodging Without Permission
64013,Soliciting to Visit House Of Prostitution
64015,"Burglary, Residence Under Constr, Forcible Entry"
64017,"Public Health Order Violation, After Notification"
64018,"Robbery, Vehicle for Hire, Att., W/ Other Weapon"
64020,Mental Health Detention
64030,Suicide By Firearms
64040,"Explosives, Illegal Transportation"
64060,"Theft, From Person, $200-$950 (other than Pickpocket)"
64065,Case Closure
64070,Suspicious Occurrence
64072,"Theft, From Building, $50-$200"
64080,Suspicious Person
64085,Investigative Detention
64090,Embezzlement from Dependent or Elder Adult by Caretaker
64100,"Interfering, W/ Police Officer"
65010,Traffic Violation Arrest
65013,Theft of Written Instrument
65014,"Burglary, Residence Under Constr, Unlawful Entry"
65015,"Vehicle, Misplaced"
65016,"Driving, License Suspended or Revoked"
65020,"Obstructions On Streets, Sidewalks"
65021,"Theft, Lost Property, Petty"
65030,"Robbery, Comml. Establ. W/ A Knife"
65040,"Embezzlement, Grand Theft By Employee"
65050,"Theft, From Building, >$950"
65055,"Firefighter, Interfering with"
65056,"Vehicle, Embezzled"
65057,"Stolen Cellular Phone, non-cloned, Possession"
65060,"Weapon, Tear Gas, Possession by Prohibited Persons"
65070,Retaking Goods from Peace Officer
65080,"Civil Sidewalks, Booking"
66010,"Aided Case, Injured or Sick Person"
66030,"Theft, Drunk Roll, <$50"
66040,"Narcotics Addict, Failure To Register"
66050,"Burglary, Hotel Room, Att. Forcible Entry"
68000,Fire Report
68020,"License Plate, Found"
68021,"Theft, Purse Snatch, $50-$200"
68030,"Robbery, Street or Public Place, W/ Knife"
68050,"Theft, From Building, <$50"
68053,Violation of Civil Gang Injunction
68055,Obscene Movies or Acts
68057,"Assault, Mayhem, W/ Force"
68060,"Burglary, Other Bldg., Att. Forcible Entry"
68069,State Code Felony (general)
71000,Lost Property
71010,"Burglary, Apt Under Constr., Att. Forcible"
71011,"Theft, Other Property, $200-$950"
71012,"License Plate, Recovered"
71013,Arson
71019,Perjury
71024,"Burglary Tools, Possession Of"
72000,Found  Property
72023,"Records or Returns, False Entries"
73000,"Suicide By Jumping, Att."
73001,"Marijuana, Furnishing"
73010,Indecent Exposure (Adult victim)
74000,"Opiates, Possession For Sale"
74020,"Theft, Trick And Device, Att."
74022,"School, Public, Trespass"
74024,"Heroin, Sales"
75000,"Phone Calls, Harassing"
75011,"Firearm Silencer, Possession"
75025,"Checks or Legal Instruments, Uttering Forged"
75030,"Alcohol, Under Influence Of In Public Place"
